s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
200,Dell,344999,370000.0,7,Core i7,8GB-512GB SSD,Latitude 5440 13TH GEN CORE i7 1355U,8GB-512GB SSD
201,LENOVO,283999,299999.0,5,Ultra 7,16GB-512GB SSD,THINKPAD E14 G6 14TH Intel Core Ultra 7 155H,16GB-512GB SSD
202,LENOVO,400999,420000.0,5,Ultra 7,16GB-512GB SSD,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U,16GB-512GB SSD
203,LENOVO,430999,450000.0,4,Ultra 7,32GB-512GB SSD,THINKPAD T14 14TH GEN Intel Core Ultra 7 155U,32GB-512GB SSD
204,HP,167999,220000.0,24,Core i7,No SSD,OMNIBOOK 14 FP0013DX Core 5 120U,8GB-512GB
205,Lenovo,266999,285000.0,6,Core i5,No SSD,loq 15 13th Core i5 13450hx  DOS,24GB-512GB
206,Apple,450999,460000.0,2,M4,No SSD,MacBook Air 15 MW1K3 M4 Chip,Not Specified
207,Dell,184999,219999.0,16,Core i5,8GB-512GB SSD,Latitude 3550 Raptor Lake 13th Gen Core i5 1335U,8GB-512GB SSD
208,LENOVO,261999,310000.0,15,Core i7,No SSD,LOQ 15 Ci5 13450HX,Not Specified
209,HP,416999,450000.0,7,Ultra 7,No SSD,OmniBook Ultra Flip 14-FH0030CA Core Ultra 7 256V,16GB 1TB SSD
210,Lenovo,659999,726000.0,9,Ultra 7,32GB-512GB SSD,ThinkPad X1 Carbon G13 Ultra 7 256V,32GB-512GB SSD
211,HP,195999,249900.0,22,Core i7,512GB SSD,VICTUS 15-FA2013DX Ci5-13420H  RTX 3050 6GB,8GB 512GB SSD
212,HP,233999,275999.0,15,Core i7,16GB-512GB SSD,VICTUS 15-FA2701WM Ci5-13420H  RTX 4050 6GB,16GB-512GB SSD
213,ACER,684999,724000.0,5,Ultra 9,No SSD,PREDATOR HELIOS 16 AI Core Ultra 9 275HX  RTX 5070Ti 12GB,32GB-1TB SSD
214,ASUS,153999,200000.0,23,Core i7,16GB-512GB SSD,EXPERTBOOK B1403CVA Ci5 1334U,16GB-512GB SSD
215,Lenovo,289999,350000.0,17,Core i7,16GB-512GB SSD,ThinkPad E14 G8 U7-255H,16GB-512GB SSD
216,Lenovo,224999,300000.0,25,Ultra 5,8GB-512GB SSD,ThinkPad E16 G3 Ultra 5 225U,8GB-512GB SSD
217,Dell,349999,400000.0,13,Core i7,16GB-512GB SSD,Alienware Aurora 16 Core 7 240H  RTX 5050 8GB,16GB-512GB SSD
218,Dell,197999,250000.0,21,Ultra 5,8GB-512GB SSD,Latitude 3550 Ultra 5-125U,8GB-512GB SSD
219,Asus,179999,215000.0,16,M1,8GB-512GB SSD,VivoBook 16 M1605YA Ryzen 7-7730U,8GB-512GB SSD
220,Dell,440999,480000.0,8,Core i7,No SSD,Alienware 16 Aurora Core 7-240H  RTX 5060 8GB,32GB-1TB SSD
221,HP,239999,280000.0,14,Ultra 7,No SSD,OmniBook 5 16-AF1067ST Ultra 7-255U,16GB-1TB SSD
222,HP,301999,350000.0,14,Core i7,16GB-512GB SSD,Victus 15-FA2317TX Ci7-13620H  RTX 4050 6GB,16GB-512GB SSD
223,Apple,286999,299999.0,4,M4,No SSD,Macbook Air 13 MW0Y3 M4,Not Specified
224,Dell,134499,145000.0,7,Ryzen 5,No SSD,Inspiron 3515 15.6 inches AMD Ryzen 5 3450U,8GB - 256GB
225,Infinix,119999,169999.0,29,Core i7,512GB SSD,INBook X2 1065G7 14 Inches Core i7,8GB RAM - 512GB SSD
226,Apple,242999,380000.0,36,Core i5,No SSD,MacBook Pro A2289 13 Inches Core i5,8GB-512GB
227,HP,145999,174999.0,17,Core i5,No SSD,15s FQ5098TU 15.6 Inches 12th Gen Core i5 Win 11,8GB - 512GB
228,Dell,187499,230000.0,18,Core i7,8GB-512GBSSD,Inspiron 3520 Core i7 12th Gen,8GB-512GBSSD
229,Apple,406999,420000.0,3,M2,No SSD,MacBook Air 15.3 M2 MQKX3,8GB-512GB
230,HP,107999,125000.0,14,Core i3,No SSD,15 FD0336nia 13th Gen Core i3,4GB-256GB
231,Lenovo,205999,238000.0,13,Core i7,No SSD,IdeaPad 5 Core i7 12th Gen,16GB-512GB
232,HP,349999,400000.0,13,Core i7,No SSD,VICTUS 16-R0003NIA Ci7-13700H  RTX 4060 8GB,32GB -1TB SSD
233,ASUS,147999,170000.0,13,Core i7,No SSD,ExpertBook B1 502CB 12th Ci5 235U,Not Specified
234,Apple,399999,449999.0,11,M3,No SSD,MacBook Air 15 Inches With M3 Chip,MRYV3
235,Dell,111999,143000.0,22,Core i7,8GB-512GB SSD,Vostro 3530 Ci3-1305U,8GB-512GB SSD
236,Apple,489999,499999.0,2,M4,No SSD,Macbook Air 15 MC7C4 M4 Chip,Not Specified
237,Acer,295999,305000.0,3,Core i7,16GB-512GB SSD,Nitro V15 13th Gen Core i7-13620H  RTX 4060 8GB Graphics,16GB-512GB SSD
238,Acer,300999,330000.0,9,Core i7,16GB-512GB SSD,Nitro V16 AMD RYZEN 7 8845HS,16GB-512GB SSD
239,HP,346999,370000.0,6,Ultra 9,No SSD,OmniBook 5 16-AF1095CL Core Ultra 9 285H,32GB 1TB
240,HP,344999,380000.0,9,Ultra 7,16GB-512GB SSD,EliteBook 840 G11 Ultra 7-155U vPro,16GB-512GB SSD
241,Dell,147999,165000.0,10,Core i7,8GB-512GB SSD,15 DC15250 Core 3-100U,8GB-512GB SSD
242,HP,200999,249999.0,20,Ryzen 7,No SSD,Pavilion 15 EH2033au 15.6 Inches AMD Ryzen 7 5825U Win 11,16GB - 1TB
243,HP,156999,199999.0,22,Ryzen 5,No SSD,Pavilion 15 EH2032au 15.6 Inches AMD Ryzen 5 5625U Win 11,16GB - 512GB
244,HP,159999,219999.0,27,Core i5,No SSD,15s FD0107TU 15.6 Inches 13th Gen Core i5 1335u Win 11,8GB - 512GB
245,HP,109999,135000.0,19,Core i3,256GB SSD,15-DY5131WM Laptop 12thGen Core i3,"8GB RAM, 256GB SSD"
246,HP,169999,220000.0,23,Core i5,512GB SSD,Envy 14-ES0013DX 13th Gen Core i5-1335U,8GB DDR4-512GB SSD
247,Dell,100999,125000.0,19,Core i3,No SSD,Vostro 3520 12th Gen Core i3 15.6 inches,8GB-512GB
248,HP,150999,185000.0,18,Core i5,No SSD,15 FD0240TU 13th Gen Core i5 1334u,8GB-512GB
249,HP,210999,250000.0,16,Ultra 5,No SSD,Envy 16 AC0013DX Ultra 5 125U,Not Specified
250,ASUS,191999,250000.0,23,Ultra 5,No SSD,ZenBook 14 Q415MA Core Ultra 5 125H,Not Specified
251,Dell,197999,209999.0,6,Core i5,16GB-512GB SSD,Inspiron 16 5640 Core i5-1334U,16GB-512GB SSD
252,LENOVO,241999,279999.0,14,Core i7,No SSD,LOQ 15 Ci5 12450HX,Not Specified
253,Infinix,110999,159999.0,31,Core i5,512GB SSD,INBook X2 1035G1 14 Inches Core i5,8GB RAM - 512GB SSD
254,HP,128999,152000.0,15,Core i3,No SSD,15s FQ5096TU 15.6 Inches 12th Gen Core i3 Win 11,4GB - 256GB
255,HP,150999,180000.0,16,Core i5,No SSD,15S-FQ5317TU Laptop 12th Gen Core i5,8GB-512GB
256,HP,177999,220000.0,19,Core i7,8GB-512GB SSD,15S-FQ5299NIA Laptop 12th Gen Core i7,8GB-512GB SSD
257,HP,115999,126000.0,8,Ryzen 5,No SSD,15s EQ2174AU AMD Ryzen 5 5500U,8GB 512GB
258,Dell,129599,150000.0,14,Core i5,No SSD,Vostro 3520 12th Gen Core i5 15.6 inches,8GB-512GB
